Date,Event_Name,Category,Description
02-Aug-1990,Gulf War Outbreak,Geopolitical Shock,Iraq invades Kuwait leading to immediate global energy security anxieties and supply premium hikes.
11-Sep-2001,9/11 Terror Attacks,Geopolitical Shock,Triggers massive contraction in global aviation fuel consumption followed by premium pricing adjustments.
15-Sep-2008,Lehman Brothers Collapse,Economic Core Shock,Catalyzes global financial crisis; widespread global industrial demand destruction.
15-Mar-2011,Arab Spring / Libyan War,Geopolitical Shock,Widespread regional civil unrest halts sweet crude export flows across North Africa.
27-Nov-2014,OPEC Thanksgiving Decision,Internal OPEC Policy,OPEC refuses to cut production targets despite expanding US shale output crashing global pricing regimes.
08-May-2018,US Iran Sanctions Return,Political Mandate,US pulls out of JCPOA nuclear framework reimposing aggressive sanctions targeting Iranian crude exports.
14-Sep-2019,Abqaiq-Khurais Drone Attacks,Geopolitical Shock,Drone strikes disable Saudi Aramco processing nodes knocking offline 5% of active global supply.
06-Mar-2020,OPEC+ Price War Collapse,Internal OPEC Policy,Disagreements on production caps spark an aggressive volume war between Russia and Saudi Arabia.
11-Mar-2020,WHO COVID-19 Declaration,Economic Core Shock,Enforced global structural lockdowns induce unprecedented historic drops in industrial fuel demand.
20-Apr-2020,WTI Negative Pricing Anomaly,Economic Core Shock,Extreme domestic infrastructure storage shortages drop WTI below zero disrupting global spot benchmarks.
24-Feb-2022,Russian Invasion of Ukraine,Geopolitical Shock,Outbreak of active European warfare and widespread Western economic sanctions send Brent soaring near 140 USD.
05-Oct-2022,OPEC+ 2 Million Barrel Output Cut,Internal OPEC Policy,OPEC+ imposes aggressive production rollbacks to artificially defend falling baseline target lines.
